protocol,connection_time,latency_avg,latency_min,latency_max,latency_mdev,packet_loss,jitter,throughput,file_transfer_time,cpu_usage_h1,mem_usage_h1,cpu_usage_h2,mem_usage_h2
PPTP,4.768442869186401,66.59000000000002,61.4,82.0,5.179565618852608,0.0,5.473684210526317,,0.1281580924987793,3.9,47.38,3.3,47.38
L2TP,4.088848829269409,66.48,62.5,84.9,5.0990783480939,0.0,4.3526315789473715,,0.12932300567626953,2.0,47.18,3.1,47.18
PPTP,3.763463258743286,67.465,60.8,83.0,6.62119890956313,0.0,8.694736842105259,,0.13013434410095215,3.8,47.21,3.2,47.21
L2TP,3.4977142810821533,67.27000000000001,62.4,82.0,5.762299888065528,0.0,6.1,,0.14873099327087402,2.1,47.23,3.3,47.23
PPTP,3.7379562854766846,70.64999999999999,63.4,89.3,8.117542731639912,0.0,7.96315789473684,,0.1320486068725586,3.1,47.26,3.5,47.28
L2TP,4.543515682220459,66.165,60.7,92.7,7.118446108526776,0.0,5.678947368421053,,0.12720537185668945,3.1,47.33,3.3,47.33
PPTP,4.61844277381897,64.23500000000001,60.8,73.3,3.0013788497955405,0.0,2.810526315789476,,0.1271836757659912,3.1,47.36,3.0,47.36
L2TP,4.189971923828125,65.89,61.7,70.3,2.468177465256499,0.0,3.2789473684210524,,0.15750408172607422,3.3,47.36,2.8,47.33
PPTP,3.951509952545166,65.42999999999999,61.4,90.8,6.697768285033456,0.0,5.86842105263158,,0.13123154640197754,3.2,47.38,3.3,47.38
L2TP,4.302999496459961,68.03500000000001,60.8,87.9,7.6129018777336155,0.0,8.247368421052633,,0.15654444694519043,2.7,47.21,2.2,47.21
PPTP,4.18725848197937,64.365,61.0,70.3,2.7508680448178535,0.0,2.88421052631579,,0.12818622589111328,3.6,47.23,3.8,47.23
L2TP,4.468454599380493,65.415,60.8,76.5,3.9594538764834724,0.0,3.4947368421052643,,0.1349339485168457,2.3,47.26,3.7,47.28
PPTP,3.901502847671509,66.925,61.5,83.0,5.61443452183744,0.0,6.15263157894737,,0.1298069953918457,3.8,47.28,4.4,47.28
L2TP,4.18355131149292,65.81,61.5,74.3,3.3719282317392216,0.0,3.242105263157895,,0.12855243682861328,3.5,47.59,2.8,47.59
PPTP,3.404080390930176,65.06,61.5,73.6,3.231315521579407,0.0,3.315789473684209,,0.13018012046813965,2.8,47.74,2.8,47.74
L2TP,4.170543909072876,64.33000000000001,60.8,70.1,2.5741212092673487,0.0,2.526315789473684,,0.1261913776397705,3.2,47.76,3.4,47.76
PPTP,4.273347854614258,66.45000000000002,61.5,75.2,4.17654163154158,0.0,3.6842105263157916,,0.13108277320861816,2.7,47.82,3.0,47.82
L2TP,3.7028608322143555,65.36999999999999,60.8,79.1,4.2649853458130424,0.0,3.784210526315788,,0.1320781707763672,3.5,47.61,3.3,47.61
PPTP,4.757251024246216,67.695,60.8,102.0,11.450697577003767,0.0,10.89473684210526,,0.13514184951782227,3.3,47.66,3.2,47.64
L2TP,4.393684387207031,65.19999999999999,61.5,76.2,3.629738282576307,0.0,3.0315789473684216,,0.13013410568237305,4.3,47.69,4.1,47.69
PPTP,4.527843952178955,65.535,60.9,79.1,4.486788940879657,0.0,4.652631578947368,,0.13018798828125,3.0,47.69,2.5,47.66
L2TP,4.2779669761657715,65.15000000000002,61.5,71.5,2.7211210924911087,0.0,3.4368421052631586,,0.13635659217834473,2.1,47.76,2.2,47.74
PPTP,3.7425692081451416,65.17500000000001,61.5,71.6,3.1046537649148567,0.0,4.136842105263157,,0.14377212524414062,3.7,47.79,3.0,47.79
L2TP,3.2851016521453857,64.835,60.8,71.3,3.342345733164061,0.0,3.1842105263157903,,0.1301102638244629,2.2,47.84,4.1,47.79
PPTP,4.90503191947937,66.39500000000002,61.5,79.1,5.362319927046502,0.0,5.952631578947369,,0.12621378898620605,2.9,47.82,2.5,47.79
L2TP,4.716034650802612,65.295,61.5,71.7,3.0348764390004406,0.0,3.2789473684210524,,0.1310596466064453,2.6,47.87,2.0,47.87
PPTP,4.584075212478638,66.575,60.8,85.2,5.8945631729586205,0.0,6.431578947368422,,0.128157377243042,4.2,47.66,3.1,47.66
L2TP,3.58880615234375,65.27000000000001,60.8,83.5,4.9500606056895915,0.0,5.084210526315791,,0.13014769554138184,2.9,47.71,3.4,47.69
PPTP,3.4593393802642822,66.445,61.4,84.0,5.961163896421571,0.0,4.584210526315789,,0.14090585708618164,3.3,47.71,3.0,47.69
L2TP,3.9726030826568604,65.87,60.8,78.1,4.743216208439163,0.0,5.826315789473685,,0.1369619369506836,4.3,47.74,3.4,47.74
PPTP,4.722055912017822,66.08000000000001,61.8,87.9,5.710656704793242,0.0,5.631578947368423,,0.1379377841949463,5.0,47.79,3.9,47.76
